Species,Disease,Description,Symptoms,Treatment
Dog,Parvovirus,A highly contagious viral infection that attacks the intestinal tract and heart muscle. Fatal in puppies and unvaccinated dogs if not treated quickly. Spreads through contaminated feces and surfaces.,"Severe vomiting, bloody diarrhea, lethargy, fever, dehydration","Supportive care with IV fluids, antibiotics to prevent secondary infection, anti-nausea medication, isolation"
Dog,Hip Dysplasia,"A genetic disorder where the hip joint doesn't develop properly, causing misalignment. Common in large breed dogs and leads to arthritis over time. Progressive and degenerative if not managed.","Limping, difficulty rising, reluctance to jump or run, rear leg weakness, pain when walking","Joint supplements (glucosamine), pain medication (NSAIDs), weight management, rest, surgery in severe cases"
Cat,Feline Leukemia Virus (FeLV),"A retrovirus that suppresses the immune system and causes cancer in cats. Spread through saliva, urine, and feces. Incurable but manageable with supportive care.","Fever, lethargy, loss of appetite, pale gums, swollen lymph nodes, anemia","Antiviral medications, immune boosters, antibiotics for secondary infections, isolation from other cats, supportive care"
Cat,Urinary Tract Infection (UTI),"A bacterial infection of the bladder or urethra, especially common in indoor cats. Caused by poor litter box hygiene or underlying health issues. Can lead to kidney damage if untreated.","Straining to urinate, frequent urination, blood in urine, litter box accidents, crying while urinating","Antibiotics (amoxicillin or enrofloxacin), increased water intake, pain relief, litter box cleaning, dietary changes"
Chicken,Coccidiosis,A parasitic intestinal infection caused by Eimeria protozoa. Spreads rapidly through contaminated bedding and water. Most common in young chicks raised in unsanitary conditions.,"Bloody diarrhea, ruffled feathers, loss of appetite, huddling, stunted growth, weakness","Medicated feed (Amprolium), isolation from flock, clean bedding, increased water intake, improved sanitation"
Chicken,Marek's Disease,A viral infection that causes tumors in nerves and organs of chickens. Highly contagious and spreads through feather dust and dander. Vaccination is the only effective prevention.,"Paralysis of wings and legs, blindness, twisted neck, tumors under skin, depression, death","Supportive care only (no cure), isolation from unvaccinated birds, euthanasia in severe cases, vaccination of uninfected chickens"
Harpy,Wing Rot,A fungal infection of the wings that degrades feather quality and structural integrity. Common in damp environments and spreads through contact. Affects flight ability if untreated.,"Matted feathers, discoloration of wings, feather loss, difficulty flying, itching and scratching","Antifungal powder, dry roost environment, wing wrapping, dietary supplements, improved hygiene"
Harpy,Wind Sickness,A mysterious ailment where harpies lose their natural affinity to wind currents and magic. Caused by spiritual imbalance or prolonged exposure to stagnant air. Recovery depends on rest and magical rebalancing.,"Lethargy, difficulty flying, loss of wind magic, weakness, melancholy, disconnection from surroundings","Extended rest in high altitudes, meditation and spiritual rituals, magical herbs, wind stone therapy, isolation from noise"
Pig,Mange,A contagious skin condition caused by mites that burrow under the epidermis. Causes intense itching and secondary bacterial infections. Highly contagious between pigs and can spread to humans.,"Severe itching, hair loss, scaly skin lesions, thickened skin, poor growth, social withdrawal","Ivermectin injections, sulfur dust baths, improved bedding, isolation from other pigs, nutritional supplements"
Pig,Swine Fever,"A highly contagious viral disease affecting the respiratory and immune systems. Spreads through contaminated feed, water, and direct contact. Can cause high mortality rates in pigsties if not controlled.","High fever, loss of appetite, lethargy, diarrhea, bluish skin discoloration, coughing, sneezing","Supportive care with fluids and nutrients, fever management, antibiotics for secondary infections, strict quarantine, vaccination of healthy pigs"
